@relation test

@attribute place {Namburu,Kakani,Tadepalli,Amaravathi,KLU}
@attribute parameter {temperature,humidity,Rainfall,Pressure}
@attribute value numeric

@data
Kakani,temperature,32
Amaravathi,temperature,32
Kakani,temperature,32
Kakani,temperature,32
KLU,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
KLU,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Namburu,temperature,32
Kakani,temperature,32
Kakani,temperature,32
KLU,temperature,32
KLU,temperature,32
KLU,temperature,32
Kakani,temperature,32
Namburu,temperature,32
KLU,temperature,32
KLU,temperature,32
KLU,temperature,32
KLU,temperature,32
Kakani,temperature,32
Kakani,temperature,32
KLU,temperature,32
KLU,temperature,32
KLU,temperature,32
Amaravathi,temperature,32
Namburu,temperature,32
Amaravathi,temperature,32
KLU,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
KLU,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
Amaravathi,temperature,32
KLU,temperature,32
Amaravathi,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Kakani,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,32
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Kakani,temperature,33
Amaravathi,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Kakani,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
Amaravathi,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Amaravathi,temperature,33
KLU,temperature,33
Amaravathi,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
Tadepalli,temperature,33
Tadepalli,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
KLU,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Amaravathi,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,humidity,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Tadepalli,humidity,33
Tadepalli,humidity,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
Namburu,temperature,33
KLU,temperature,34
Namburu,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Amaravathi,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Kakani,temperature,34
Namburu,temperature,34
Tadepalli,temperature,34
Tadepalli,temperature,34
Tadepalli,temperature,34
Tadepalli,temperature,34
Namburu,temperature,34
Tadepalli,temperature,34
Tadepalli,temperature,34
Namburu,temperature,34
Tadepalli,temperature,34
Namburu,temperature,34
Tadepalli,temperature,34
Tadepalli,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Namburu,temperature,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Namburu,temperature,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Namburu,temperature,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Tadepalli,humidity,34
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Kakani,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Namburu,temperature,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,humidity,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Tadepalli,temperature,35
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Kakani,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,humidity,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Tadepalli,temperature,36
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Kakani,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,temperature,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
Tadepalli,humidity,37
